id,name,city,state,lat,lng
7758,Sandollar Farms Alpacas & Pyrs,Kennewick,WA,46.189491271972656,-119.11699676513672
6769,Que Sera Alpacas,Santa Fe,NM,35.51197814941406,-105.9073486328125
7029,Carolina Pride Alpacas LLC,Maple Hill,NC,34.728851318359375,-77.62564086914062
7092,Alpacas All Around,Eagle Creek,OR,45.35197830200195,-122.33920288085938
6161,Clayfarm Alpacas,Seymour,IN,39.01557159423828,-85.81649780273438
7177,Black Hills Alpacas,Lacey,WA,47.04936981201172,-122.74256896972656
6722,Never Ending Alpaca Farm,Portville,NY,42.056461334228516,-78.33450317382812
19620,Mill Creek Alpacas,Chester,IL,37.89841842651367,-89.69631958007812
7473,"Heartland ""Criations"" Alpacas LLC",Rio,IL,41.08607864379883,-90.34294891357422
8048,Alpacas of Montana Inc,Bozeman,MT,45.62390899658203,-111.1041030883789
6250,Alpacas of Somerset Farm,Somerset,CA,38.55757141113281,-120.81246185302734
6246,R&R Suris,Montague,MI,43.45742414572825,-86.31604290008545
20618,Double 8 Alpaca and Llama Ranch,Hillsboro,VA,39.24745178222656,-77.72612762451172
7479,K-Ran Alpacas,Afton,NY,42.2718505859375,-75.54647064208984
7067,Lasso The Moon Alpacas,Blairsville,GA,34.858158111572266,-83.90538787841797
7888,Quarry Critters Alpaca Ranch ,Littlestown,PA,39.77183151245117,-77.07554626464844
6837,Irish Meadows Alpaca Farm,La Motte,IA,42.23735809326172,-90.61871337890625
20860,Long Acres Alpaca Farm,Mercersburg,PA,39.78887939453125,-77.9364013671875
6564,Lippencott Alpacas LLC,Waynesburg,PA,39.94868087768555,-80.11573028564453
7566,Aspen Alpaca Company,Sandpoint,ID,48.37163162231445,-116.46211242675781
7880,Annie's Alpaca Ranch,Longmont,CO,40.131568908691406,-104.98957061767578
21885,Autumn Sun Alpacas at Autumn Sun Acres,Calhan,CO,38.97690963745117,-104.4232177734375
6166,"Greenbriar Farm Alpacas — MAM Consulting Associates, Inc.",Waukesha,WI,42.96110916137695,-88.22305297851562
6663,Rainbow Mountain Alpacas,Punxsutawney,PA,40.9953498840332,-79.1176528930664
6934,Spinning Wheel Ranch,Bogata,TX,33.464420318603516,-95.21333312988281
6205,Waypoint Farm,Wenatchee,WA,47.483558654785156,-120.38934326171875
6665,Eagle Bend Alpacas,Burlington,KY,38.978240966796875,-84.7512435913086
6930,Alpacas of Indian Point Hills,Petersburg,IL,40.00812911987305,-89.7513198852539
6412,The Wood Farm,Franklin,PA,41.45846939086914,-79.91903686523438
9280,Pet2Tingo ,Oregon City,OR,45.331539154052734,-122.55486297607422
7489,Arriba Linea Alpacas,Lindsay,ON,44.3864548872134,-78.71928684616091
7977,Salt Creek Alpacas,Farmer City,IL,40.33195877075195,-88.6314697265625
21502,Renaissance Ridge Alpacas ,Mount Aukum,CA,38.55559158325195,-120.72633361816406
10958,Alpacas in the Glen,Smithville Flats,NY,42.44118118286133,-75.87811279296875
6207,Alpacas at Willowbrook Farm,Louisburg,KS,38.68600845336914,-94.74098205566406
6799,Misty Acres Alpaca Farm,Sidney,ME,44.44221878051758,-69.70160675048828
7510,Heaven's Hill Alpaca,Washington,PA,40.208229064941406,-80.18112182617188
7346,Victoria Lane Alpacas,New Waterford,OH,40.871089935302734,-80.58634948730469
6614,Circus City Alpacas LLC,Peru,IN,40.7929801940918,-86.12371826171875
7513,Crystal Lake Alpaca Farm,Frankfort,MI,44.618309020996094,-86.14151000976562
8415,Elf Paca Meadows,West Newfield,ME,43.640830993652344,-70.94426727294922
16504,3D's Alpacas,Olympia,WA,47.09938049316406,-122.8058090209961
7679,Paca Paradise Ranch,Hillsboro,OR,45.435089111328125,-122.94435119628906
7193,Happy Tails Alpaca Farm,Xenia,OH,39.64094161987305,-84.01004028320312
6828,"Rancho Inca Alpacas, LLC",Navasota,TX,30.281940460205078,-95.96318054199219
8238,Alpaca Road LLC,Denton,MD,38.89400100708008,-75.80487823486328
7155,Autumn Mist Alpaca Farm & Fiber Mill LLC,Prattsburgh,NY,42.558799743652344,-77.19254302978516
8871,Infinity Alpaca Ranch,Olympia,WA,46.96929168701172,-122.76419830322266
8003,Enduring Gift Alpacas,Mc Coy,CO,39.921058654785156,-106.74712371826172
7167,Blendon Pines Alpaca Ranch,Hudsonville,MI,42.89249038696289,-85.94554901123047
7191,coventry falls alpacas,Irasburg,VT,44.785858154296875,-72.30554962158203
6579,Alpacas @ Triple Tree,Sheldon,IA,43.1863961631185,-95.9236159324646
7135,Golden Spirit Alpaca Ranch,Odessa,FL,28.13602066040039,-82.6080093383789
8183,Frosty Ridge Alpacas,Duluth,MN,46.8077507019043,-92.31825256347656
21843,Claddagh Farm LLC,La Fayette,NY,42.85306930541992,-76.04743194580078
7813,Fun In The Country Alpacas,Columbiaville,MI,43.161041259765625,-83.45989990234375
6842,CCAP Alpacas,Westlake,OH,41.44628143310547,-81.96631622314453
6766,Northern Solstice Alpaca Farm,Unity,ME,44.59077835083008,-69.29589080810547
6752,C&M Acres Fiber Mill and Alpacas,Maxwell,IA,41.86589813232422,-93.38211822509766
6694,Gentle Breeze Alpacas,Burlington Flats,NY,42.775569915771484,-75.20509338378906
7052,Suri Downs Farm,Maidens,VA,37.714088439941406,-77.83869171142578
6356,KB Alpacas,Wilmington,OH,39.522090911865234,-83.8988037109375
8589,Asgard Acres Alpaca Farm LLC,Renfrew,PA,40.81148147583008,-80.00382232666016
6686,Desert Mirage Alpaca Ranch LLC,Wittmann,AZ,33.72684097290039,-112.4711685180664
21378,Hill Crest Alpacas,North Dartmouth,MA,41.67898941040039,-71.00102996826172
7972,Clearview Alpaca Farm,Saint Stephens Church,VA,37.863073158999235,-77.01087379455566
7820,Alpacas of Marin/SoCalSuri Alpacas,Nicasio,CA,38.08879450268688,-122.75534439086914
7842,Harley Hill Farm LLC,Quakertown,PA,40.489990234375,-75.35759735107422
6908,Alpacas at Marquam Hill Ranch LLC,Molalla,OR,45.0908203125,-122.67266082763672
7698,Peeka Ranch,Burton,TX,30.069229125976562,-96.57273864746094
7427,Triple Diamonds Alpaca Ranch,Howell,MI,42.51156997680664,-83.88497161865234
6204,Alpacas of Moose Creek Ranch,Bucyrus,KS,38.69929885864258,-94.72335052490234
7110,ROCKSTAR Alpacas,Royal Oaks,CA,36.864768981933594,-121.685546875
7636,Walnut Hill Farm,Metamora,MI,42.91128158569336,-83.3612289428711
19573,Apulanda Alpacas,OWATONNA,MN,44.14231872558594,-93.2166519165039
6954,Suri Alpacas of Shiloh Farm,Shermans Dale,PA,40.311248779296875,-77.15644073486328
7599,Sabamba Alpaca Ranch,De Pere,WI,44.38174057006836,-88.14579010009766
6182,Our Little World Alpacas LLC,Grafton,OH,41.23965072631836,-81.98326110839844
6798,Foster's Trail & Alpaca Farm,Cleveland,TN,35.226070404052734,-84.82073211669922
7219,"Alpaca Country Estates, LLC",Terrebonne,OR,44.356201171875,-121.20246124267578
